ELECTION_DATE,ELECTION_NAME,COUNTY_ID,COUNTY_NAME,CONTEST_ID,CONTEST_NAME,CANDIDATE_ID,CANDIDATE_NAME,INCUMBENT_FLAG,WRITE_IN_FLAG,PARTY_ID,PARTY_NAME,VOTE_TOTAL
03/03/2020,2020 Presidential Primary,1,Alameda,010001000000,President Democratic,7,Michael Bennet,N,N,1,Democratic,131
03/03/2020,2020 Presidential Primary,1,Alameda,010001000000,President Democratic,8,Joseph R. Biden,N,N,1,Democratic,92013
03/03/2020,2020 Presidential Primary,1,Alameda,010001000000,President Democratic,10,Michael R. Bloomberg,N,N,1,Democratic,38445
03/03/2020,2020 Presidential Primary,1,Alameda,010001000000,President Democratic,11,Cory Booker,N,N,1,Democratic,272
03/03/2020,2020 Presidential Primary,1,Alameda,010001000000,President Democratic,12,Mosie Boyd,N,N,1,Democratic,55
03/03/2020,2020 Presidential Primary,1,Alameda,010001000000,President Democratic,13,Pete Buttigieg,N,N,1,Democratic,11114
03/03/2020,2020 Presidential Primary,1,Alameda,010001000000,President Democratic,14,Julián Castro,N,N,1,Democratic,226
03/03/2020,2020 Presidential Primary,1,Alameda,010001000000,President Democratic,18,"Roque ""Rocky"" De La Fuente III",N,N,1,Democratic,111
03/03/2020,2020 Presidential Primary,1,Alameda,010001000000,President Democratic,19,John K. Delaney,N,N,1,Democratic,207
03/03/2020,2020 Presidential Primary,1,Alameda,010001000000,President Democratic,21,Michael A. Ellinger,N,N,1,Democratic,237
03/03/2020,2020 Presidential Primary,1,Alameda,010001000000,President Democratic,23,Tulsi Gabbard,N,N,1,Democratic,1715
03/03/2020,2020 Presidential Primary,1,Alameda,010001000000,President Democratic,25,Mark Stewart Greenstein,N,N,1,Democratic,124
03/03/2020,2020 Presidential Primary,1,Alameda,010001000000,President Democratic,32,Amy Klobuchar,N,N,1,Democratic,6758
03/03/2020,2020 Presidential Primary,1,Alameda,010001000000,President Democratic,40,Deval Patrick,N,N,1,Democratic,61
03/03/2020,2020 Presidential Primary,1,Alameda,010001000000,President Democratic,45,Bernie Sanders,N,N,1,Democratic,138516
03/03/2020,2020 Presidential Primary,1,Alameda,010001000000,President Democratic,46,Joe Sestak,N,N,1,Democratic,103
03/03/2020,2020 Presidential Primary,1,Alameda,010001000000,President Democratic,47,Tom Steyer,N,N,1,Democratic,4492
03/03/2020,2020 Presidential Primary,1,Alameda,010001000000,President Democratic,50,Elizabeth Warren,N,N,1,Democratic,72478
03/03/2020,2020 Presidential Primary,1,Alameda,010001000000,President Democratic,52,Marianne Williamson,N,N,1,Democratic,191
03/03/2020,2020 Presidential Primary,1,Alameda,010001000000,President Democratic,53,Andrew Yang,N,N,1,Democratic,2961
03/03/2020,2020 Presidential Primary,1,Alameda,010001000000,President Democratic,61,Heather Marie Stagg,N,Y,1,Democratic,0
03/03/2020,2020 Presidential Primary,1,Alameda,010001000000,President Democratic,63,Robert Jordan,N,Y,1,Democratic,0
03/03/2020,2020 Presidential Primary,1,Alameda,010001000000,President Democratic,283,Jeffrey H. Drobman,N,Y,1,Democratic,0
03/03/2020,2020 Presidential Primary,1,Alameda,010001000000,President Democratic,285,Michael Dename,N,Y,1,Democratic,0
03/03/2020,2020 Presidential Primary,1,Alameda,010001000000,President Democratic,286,Daphne Denise Bradford,N,Y,1,Democratic,0
03/03/2020,2020 Presidential Primary,1,Alameda,010001000000,President Democratic,288,Willie Felix Carter,N,Y,1,Democratic,0
03/03/2020,2020 Presidential Primary,1,Alameda,010001000000,President Democratic,289,Nakia L. Anthony,N,Y,1,Democratic,0
03/03/2020,2020 Presidential Primary,1,Alameda,010001130000,President - Democratic CD-13,7,Michael Bennet,N,N,1,Democratic,59
03/03/2020,2020 Presidential Primary,1,Alameda,010001130000,President - Democratic CD-13,8,Joseph R. Biden,N,N,1,Democratic,51405
03/03/2020,2020 Presidential Primary,1,Alameda,010001130000,President - Democratic CD-13,10,Michael R. Bloomberg,N,N,1,Democratic,18484
03/03/2020,2020 Presidential Primary,1,Alameda,010001130000,President - Democratic CD-13,11,Cory Booker,N,N,1,Democratic,162
03/03/2020,2020 Presidential Primary,1,Alameda,010001130000,President - Democratic CD-13,12,Mosie Boyd,N,N,1,Democratic,30
03/03/2020,2020 Presidential Primary,1,Alameda,010001130000,President - Democratic CD-13,13,Pete Buttigieg,N,N,1,Democratic,5811
03/03/2020,2020 Presidential Primary,1,Alameda,010001130000,President - Democratic CD-13,14,Julián Castro,N,N,1,Democratic,97
03/03/2020,2020 Presidential Primary,1,Alameda,010001130000,President - Democratic CD-13,18,"Roque ""Rocky"" De La Fuente III",N,N,1,Democratic,35
03/03/2020,2020 Presidential Primary,1,Alameda,010001130000,President - Democratic CD-13,19,John K. Delaney,N,N,1,Democratic,82
03/03/2020,2020 Presidential Primary,1,Alameda,010001130000,President - Democratic CD-13,21,Michael A. Ellinger,N,N,1,Democratic,126
03/03/2020,2020 Presidential Primary,1,Alameda,010001130000,President - Democratic CD-13,23,Tulsi Gabbard,N,N,1,Democratic,610
03/03/2020,2020 Presidential Primary,1,Alameda,010001130000,President - Democratic CD-13,25,Mark Stewart Greenstein,N,N,1,Democratic,32
03/03/2020,2020 Presidential Primary,1,Alameda,010001130000,President - Democratic CD-13,32,Amy Klobuchar,N,N,1,Democratic,3672
03/03/2020,2020 Presidential Primary,1,Alameda,010001130000,President - Democratic CD-13,40,Deval Patrick,N,N,1,Democratic,24
03/03/2020,2020 Presidential Primary,1,Alameda,010001130000,President - Democratic CD-13,45,Bernie Sanders,N,N,1,Democratic,88847
