Santa Cruz,,,,,,,,,Precinct Canvass,,,,,,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,"1 Member, County Central Committee Democratic Party (2nd District) DEM",,,,,,,,,,,,,,,
,,,,,,,1,1,,1,1,1,1,1,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,DEM - DENISE ELERICK,DEM - GIGI KELBERT,,DEM - RANDA SOLICK,DEM - ED MANNING,DEM - KATHERINE DENISE BAIRD,DEM - RENE M. BLOCH,DEM - ADELE GARDNER,Write In,,
20011,Vote by Mail,808,276,34.16 %,,,64,91,,83,112,61,77,91,1,,
20011,Polling Place,808,131,16.21 %,,,49,30,,50,42,38,34,37,1,,
20011,Total,808,407,50.37 %,,,113,121,,133,154,99,111,128,2,,
20013,Vote by Mail,274,126,45.99 %,,,33,47,,42,53,29,49,50,,,
20013,Polling Place,274,36,13.14 %,,,8,10,,18,9,8,5,7,,,
20013,Total,274,162,59.12 %,,,41,57,,60,62,37,54,57,,,
20020,Vote by Mail,890,379,42.58 %,,,101,142,,128,129,99,137,144,2,,
20020,Polling Place,890,125,14.04 %,,,28,35,,29,40,30,37,34,,,
20020,Total,890,504,56.63 %,,,129,177,,157,169,129,174,178,2,,
20041,Vote by Mail,524,255,48.66 %,,,79,105,,88,130,50,127,114,1,,
20041,Polling Place,524,106,20.23 %,,,20,33,,32,35,21,28,29,1,,
20041,Total,524,361,68.89 %,,,99,138,,120,165,71,155,143,2,,
20044,Vote by Mail,519,280,53.95 %,,,66,108,,95,124,68,108,119,1,,
20044,Polling Place,519,126,24.28 %,,,18,40,,26,43,22,36,47,1,,
20044,Total,519,406,78.23 %,,,84,148,,121,167,90,144,166,2,,
20061,Vote by Mail,426,221,51.88 %,,,53,85,,62,85,51,74,91,1,,
20061,Polling Place,426,117,27.46 %,,,23,46,,34,46,32,42,42,2,,
20061,Total,426,338,79.34 %,,,76,131,,96,131,83,116,133,3,,
20093,Vote by Mail,1,0,0.00 %,,,,,,,,,,,,,
20093,Polling Place,1,1,100.00 %,,,,,,,,1,,,,,
20093,Total,1,1,100.00 %,,,,,,,,1,,,,,
20096,Vote by Mail,6,5,83.33 %,,,2,,,2,,2,2,,,,
20096,Polling Place,6,0,0.00 %,,,,,,,,,,,,,
20096,Total,6,5,83.33 %,,,2,,,2,,2,2,,,,
20101,Vote by Mail,555,305,54.95 %,,,68,113,,83,120,60,108,126,,,
20101,Polling Place,555,110,19.82 %,,,21,28,,21,37,16,25,29,,,
20101,Total,555,415,74.77 %,,,89,141,,104,157,76,133,155,,,
