Santa Cruz,,,,,,,,,Precinct Canvass,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,"1 Supervisor, 2nd District",,,,,,,,,,
,,,,,,,1,1,,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,ZACH FRIEND,BECKY STEINBRUNER,,Write In,,
20011,Vote by Mail,1387,416,29.99 %,,,274,117,,1,,
20011,Polling Place,1387,201,14.49 %,,,121,66,,,,
20011,Total,1387,617,44.48 %,,,395,183,,1,,
20013,Vote by Mail,543,217,39.96 %,,,159,37,,1,,
20013,Polling Place,543,72,13.26 %,,,35,24,,1,,
20013,Total,543,289,53.22 %,,,194,61,,2,,
20020,Vote by Mail,1662,621,37.36 %,,,387,193,,4,,
20020,Polling Place,1662,208,12.52 %,,,111,83,,1,,
20020,Total,1662,829,49.88 %,,,498,276,,5,,
20041,Vote by Mail,1078,462,42.86 %,,,294,143,,2,,
20041,Polling Place,1078,184,17.07 %,,,100,71,,,,
20041,Total,1078,646,59.93 %,,,394,214,,2,,
20044,Vote by Mail,1000,458,45.80 %,,,265,158,,1,,
20044,Polling Place,1000,212,21.20 %,,,119,74,,,,
20044,Total,1000,670,67.00 %,,,384,232,,1,,
20061,Vote by Mail,854,394,46.14 %,,,255,113,,5,,
20061,Polling Place,854,201,23.54 %,,,126,68,,,,
20061,Total,854,595,69.67 %,,,381,181,,5,,
20093,Vote by Mail,1,0,0.00 %,,,,,,,,
20093,Polling Place,1,1,100.00 %,,,,1,,,,
20093,Total,1,1,100.00 %,,,,1,,,,
20096,Vote by Mail,9,7,77.78 %,,,2,5,,,,
20096,Polling Place,9,1,11.11 %,,,,1,,,,
20096,Total,9,8,88.89 %,,,2,6,,,,
20101,Vote by Mail,1147,539,46.99 %,,,322,170,,4,,
20101,Polling Place,1147,187,16.30 %,,,103,54,,2,,
20101,Total,1147,726,63.30 %,,,425,224,,6,,
20150,Vote by Mail,691,295,42.69 %,,,130,146,,1,,
20150,Polling Place,691,158,22.87 %,,,54,95,,,,
20150,Total,691,453,65.56 %,,,184,241,,1,,
20221,Vote by Mail,1437,667,46.42 %,,,447,154,,1,,
20221,Polling Place,1437,308,21.43 %,,,197,75,,3,,
20221,Total,1437,975,67.85 %,,,644,229,,4,,
20232,Vote by Mail,1226,599,48.86 %,,,427,120,,2,,
20232,Polling Place,1226,258,21.04 %,,,164,71,,1,,
20232,Total,1226,857,69.90 %,,,591,191,,3,,
20241,Vote by Mail,90,52,57.78 %,,,24,20,,,,
20241,Polling Place,90,3,3.33 %,,,1,2,,,,
20241,Total,90,55,61.11 %,,,25,22,,,,
20242,Vote by Mail,1397,690,49.39 %,,,445,209,,5,,
20242,Polling Place,1397,276,19.76 %,,,164,89,,1,,
20242,Total,1397,966,69.15 %,,,609,298,,6,,
20251,Vote by Mail,1208,547,45.28 %,,,342,165,,2,,
20251,Polling Place,1208,267,22.10 %,,,142,113,,1,,
20251,Total,1208,814,67.38 %,,,484,278,,3,,
