COUNTY OF LOS ANGELES,GENERAL ELECTION,11/05/2024,,,,,,,,
L A UNIFIED SCH-BOE 5,Non Partisan,N,cc9499,1,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,KARLA GRIEGO,GRACIELA ORTIZ,
LOS ANGELES,9002696A,7539,476,N, ,VBM PORTION,0,0,0, 
LOS ANGELES,9002696A,7539,476,N,3,TOTAL,2,2,0, 
LOS ANGELES,9002821A,7542,637,N, ,POLLING PLACE,109,49,44, 
LOS ANGELES,9002821A,7542,637,N, ,VBM PORTION,188,83,75, 
LOS ANGELES,9002821A,7542,637,N,676,TOTAL,297,132,119, 
LOS ANGELES,9002868A,7547,513,N, ,POLLING PLACE,199,83,65, 
LOS ANGELES,9002868A,7547,513,N, ,VBM PORTION,370,171,118, 
LOS ANGELES,9002868A,7547,513,N,1103,TOTAL,569,254,183, 
LOS ANGELES,9002876A,7548,506,N, ,POLLING PLACE,84,39,26, 
LOS ANGELES,9002876A,7548,506,N, ,VBM PORTION,142,97,30, 
LOS ANGELES,9002876A,7548,506,N,411,TOTAL,226,136,56, 
LOS ANGELES,9002929A,1329,637,N, ,POLLING PLACE,437,211,182, 
LOS ANGELES,9002929A,1329,637,N, ,VBM PORTION,624,264,306, 
LOS ANGELES,9002929A,1329,637,N,2501,TOTAL,1061,475,488, 
LOS ANGELES,9003156A,7559,517,N, ,POLLING PLACE,0,0,0, 
LOS ANGELES,9003156A,7559,517,N, ,VBM PORTION,0,0,0, 
LOS ANGELES,9003156A,7559,517,N,0,TOTAL,0,0,0, 
LOS ANGELES,9003188A,1348,513,N, ,POLLING PLACE,891,395,290, 
LOS ANGELES,9003188A,1348,513,N, ,VBM PORTION,2119,1117,581, 
LOS ANGELES,9003188A,1348,513,N,4831,TOTAL,3010,1512,871, 
LOS ANGELES,9003298A,7567,478,N, ,POLLING PLACE,20,13,3, 
LOS ANGELES,9003298A,7567,478,N, ,VBM PORTION,51,33,14, 
LOS ANGELES,9003298A,7567,478,N,104,TOTAL,71,46,17, 
LOS ANGELES,9003479A,7576,513,N, ,POLLING PLACE,0,0,0, 
LOS ANGELES,9003479A,7576,513,N, ,VBM PORTION,0,0,0, 
LOS ANGELES,9003479A,7576,513,N,1,TOTAL,0,0,0, 
LOS ANGELES,9003937B,7588,480,N, ,POLLING PLACE,47,33,7, 
LOS ANGELES,9003937B,7588,480,N, ,VBM PORTION,167,108,35, 
LOS ANGELES,9003937B,7588,480,N,248,TOTAL,214,141,42, 
LOS ANGELES,9003952A,1364,517,N, ,POLLING PLACE,619,309,184, 
LOS ANGELES,9003952A,1364,517,N, ,VBM PORTION,1210,583,373, 
LOS ANGELES,9003952A,1364,517,N,3358,TOTAL,1829,892,557, 
LOS ANGELES,9003981D,7589,453,N, ,POLLING PLACE,26,11,10, 
LOS ANGELES,9003981D,7589,453,N, ,VBM PORTION,183,117,38, 
LOS ANGELES,9003981D,7589,453,N,276,TOTAL,209,128,48, 
LOS ANGELES,9003991A,1366,506,N, ,POLLING PLACE,437,220,133, 
LOS ANGELES,9003991A,1366,506,N, ,VBM PORTION,961,528,293, 
LOS ANGELES,9003991A,1366,506,N,2284,TOTAL,1398,748,426, 
LOS ANGELES,9004515A,7599,517,N, ,POLLING PLACE,58,26,19, 
LOS ANGELES,9004515A,7599,517,N, ,VBM PORTION,76,46,21, 
LOS ANGELES,9004515A,7599,517,N,322,TOTAL,134,72,40, 
LOS ANGELES,9005020A,7603,517,N, ,POLLING PLACE,85,48,22, 
LOS ANGELES,9005020A,7603,517,N, ,VBM PORTION,210,91,54, 
LOS ANGELES,9005020A,7603,517,N,494,TOTAL,295,139,76, 
LOS ANGELES,9005113A,7605,454,N, ,POLLING PLACE,0,0,0, 
LOS ANGELES,9005113A,7605,454,N, ,VBM PORTION,1,1,0, 
LOS ANGELES,9005113A,7605,454,N,1,TOTAL,1,1,0, 
LOS ANGELES,9005400A,1385,517,N, ,POLLING PLACE,677,308,241, 
LOS ANGELES,9005400A,1385,517,N, ,VBM PORTION,1390,658,522, 
LOS ANGELES,9005400A,1385,517,N,3776,TOTAL,2067,966,763, 
LOS ANGELES,9005401A,1386,513,N, ,POLLING PLACE,631,249,228, 
LOS ANGELES,9005401A,1386,513,N, ,VBM PORTION,1205,567,351, 
LOS ANGELES,9005401A,1386,513,N,3249,TOTAL,1836,816,579, 
LOS ANGELES,9005472A,1389,637,N, ,POLLING PLACE,442,234,152, 
LOS ANGELES,9005472A,1389,637,N, ,VBM PORTION,852,446,304, 
LOS ANGELES,9005472A,1389,637,N,3092,TOTAL,1294,680,456, 
LOS ANGELES,9005778A,1396,453,N, ,POLLING PLACE,540,255,158, 
LOS ANGELES,9005778A,1396,453,N, ,VBM PORTION,1622,928,416, 
LOS ANGELES,9005778A,1396,453,N,3119,TOTAL,2162,1183,574, 
LOS ANGELES,9006302A,1414,476,N, ,POLLING PLACE,404,247,103, 
LOS ANGELES,9006302A,1414,476,N, ,VBM PORTION,1422,912,306, 
LOS ANGELES,9006302A,1414,476,N,2520,TOTAL,1826,1159,409, 
LOS ANGELES,9006305A,1415,476,N, ,POLLING PLACE,565,306,136, 
LOS ANGELES,9006305A,1415,476,N, ,VBM PORTION,1859,1156,465, 
LOS ANGELES,9006305A,1415,476,N,3148,TOTAL,2424,1462,601, 
LOS ANGELES,9006319A,7617,480,N, ,POLLING PLACE,251,137,62, 
LOS ANGELES,9006319A,7617,480,N, ,VBM PORTION,845,498,211, 
LOS ANGELES,9006319A,7617,480,N,1530,TOTAL,1096,635,273, 
LOS ANGELES,9006320A,1416,478,N, ,POLLING PLACE,709,376,197, 
LOS ANGELES,9006320A,1416,478,N, ,VBM PORTION,1899,1093,461, 
LOS ANGELES,9006320A,1416,478,N,3502,TOTAL,2608,1469,658, 
LOS ANGELES,9006324A,1417,480,N, ,POLLING PLACE,629,320,171, 
LOS ANGELES,9006324A,1417,480,N, ,VBM PORTION,1837,1081,479, 
LOS ANGELES,9006324A,1417,480,N,3411,TOTAL,2466,1401,650, 
LOS ANGELES,9006335B,1418,478,N, ,POLLING PLACE,521,302,124, 
LOS ANGELES,9006335B,1418,478,N, ,VBM PORTION,1999,1173,462, 
LOS ANGELES,9006335B,1418,478,N,3133,TOTAL,2520,1475,586, 
LOS ANGELES,9007542A,1442,517,N, ,POLLING PLACE,489,223,173, 
LOS ANGELES,9007542A,1442,517,N, ,VBM PORTION,743,363,291, 
LOS ANGELES,9007542A,1442,517,N,2432,TOTAL,1232,586,464, 
BALLOT GROUP 453,9990453A,8453,453,N, ,POLLING PLACE,0,0,0, 
BALLOT GROUP 453,9990453A,8453,453,N, ,VBM PORTION,0,0,0, 
BALLOT GROUP 453,9990453A,8453,453,N,0,TOTAL,0,0,0, 
BALLOT GROUP 454,9990454A,8454,454,N, ,POLLING PLACE,0,0,0, 
BALLOT GROUP 454,9990454A,8454,454,N, ,VBM PORTION,0,0,0, 
BALLOT GROUP 454,9990454A,8454,454,N,0,TOTAL,0,0,0, 
BALLOT GROUP 476,9990476A,8476,476,N, ,POLLING PLACE,0,0,0, 
BALLOT GROUP 476,9990476A,8476,476,N, ,VBM PORTION,0,0,0, 
BALLOT GROUP 476,9990476A,8476,476,N,0,TOTAL,0,0,0, 
BALLOT GROUP 478,9990478A,8478,478,N, ,POLLING PLACE,0,0,0, 
BALLOT GROUP 478,9990478A,8478,478,N, ,VBM PORTION,0,0,0, 
BALLOT GROUP 478,9990478A,8478,478,N,0,TOTAL,0,0,0, 
BALLOT GROUP 480,9990480A,8480,480,N, ,POLLING PLACE,0,0,0, 
BALLOT GROUP 480,9990480A,8480,480,N, ,VBM PORTION,0,0,0, 
BALLOT GROUP 480,9990480A,8480,480,N,0,TOTAL,0,0,0, 
BALLOT GROUP 506,9990506A,8506,506,N, ,POLLING PLACE,0,0,0, 
BALLOT GROUP 506,9990506A,8506,506,N, ,VBM PORTION,0,0,0, 
BALLOT GROUP 506,9990506A,8506,506,N,0,TOTAL,0,0,0, 
BALLOT GROUP 509,9990509A,8509,509,N, ,POLLING PLACE,0,0,0, 
BALLOT GROUP 509,9990509A,8509,509,N, ,VBM PORTION,0,0,0, 
BALLOT GROUP 509,9990509A,8509,509,N,0,TOTAL,0,0,0, 
BALLOT GROUP 513,9990513A,8513,513,N, ,POLLING PLACE,0,0,0, 
BALLOT GROUP 513,9990513A,8513,513,N, ,VBM PORTION,0,0,0, 
BALLOT GROUP 513,9990513A,8513,513,N,0,TOTAL,0,0,0, 
BALLOT GROUP 517,9990517A,8517,517,N, ,POLLING PLACE,0,0,0, 
BALLOT GROUP 517,9990517A,8517,517,N, ,VBM PORTION,0,0,0, 
BALLOT GROUP 517,9990517A,8517,517,N,0,TOTAL,0,0,0, 
BALLOT GROUP 526,9990526A,8526,526,N, ,POLLING PLACE,0,0,0, 
BALLOT GROUP 526,9990526A,8526,526,N, ,VBM PORTION,0,0,0, 
BALLOT GROUP 526,9990526A,8526,526,N,0,TOTAL,0,0,0, 
BALLOT GROUP 627,9990627A,8627,627,N, ,POLLING PLACE,0,0,0, 
BALLOT GROUP 627,9990627A,8627,627,N, ,VBM PORTION,0,0,0, 
BALLOT GROUP 627,9990627A,8627,627,N,0,TOTAL,0,0,0, 
BALLOT GROUP 634,9990634A,8634,634,N, ,POLLING PLACE,0,0,0, 
BALLOT GROUP 634,9990634A,8634,634,N, ,VBM PORTION,0,0,0, 
BALLOT GROUP 634,9990634A,8634,634,N,0,TOTAL,0,0,0, 
BALLOT GROUP 637,9990637A,8637,637,N, ,POLLING PLACE,0,0,0, 
BALLOT GROUP 637,9990637A,8637,637,N, ,VBM PORTION,0,0,0, 
BALLOT GROUP 637,9990637A,8637,637,N,0,TOTAL,0,0,0, 
BALLOT GROUP 690,9990690A,8690,690,N, ,POLLING PLACE,0,0,0, 
BALLOT GROUP 690,9990690A,8690,690,N, ,VBM PORTION,0,0,0, 
BALLOT GROUP 690,9990690A,8690,690,N,0,TOTAL,0,0,0, 
BALLOT GROUP 691,9990691A,8691,691,N, ,POLLING PLACE,0,0,0, 
BALLOT GROUP 691,9990691A,8691,691,N, ,VBM PORTION,0,0,0, 
BALLOT GROUP 691,9990691A,8691,691,N,0,TOTAL,0,0,0, 
BALLOT GROUP 695,9990695A,8695,695,N, ,POLLING PLACE,0,0,0, 
BALLOT GROUP 695,9990695A,8695,695,N, ,VBM PORTION,0,0,0, 
BALLOT GROUP 695,9990695A,8695,695,N,0,TOTAL,0,0,0, 
BALLOT GROUP 705,9990705A,8705,705,N, ,POLLING PLACE,0,0,0, 
BALLOT GROUP 705,9990705A,8705,705,N, ,VBM PORTION,0,0,0, 
BALLOT GROUP 705,9990705A,8705,705,N,0,TOTAL,0,0,0, 
BALLOT GROUP 722,9990722A,8722,722,N, ,POLLING PLACE,0,0,0, 
BALLOT GROUP 722,9990722A,8722,722,N, ,VBM PORTION,0,0,0, 
BALLOT GROUP 722,9990722A,8722,722,N,0,TOTAL,0,0,0, 
BALLOT GROUP 725,9990725A,8725,725,N, ,POLLING PLACE,0,0,0, 
BALLOT GROUP 725,9990725A,8725,725,N, ,VBM PORTION,0,0,0, 
BALLOT GROUP 725,9990725A,8725,725,N,0,TOTAL,0,0,0, 
BALLOT GROUP 727,9990727A,8727,727,N, ,POLLING PLACE,0,0,0, 
BALLOT GROUP 727,9990727A,8727,727,N, ,VBM PORTION,0,0,0, 
BALLOT GROUP 727,9990727A,8727,727,N,0,TOTAL,0,0,0, 
BALLOT GROUP 728,9990728A,8728,728,N, ,POLLING PLACE,0,0,0, 
BALLOT GROUP 728,9990728A,8728,728,N, ,VBM PORTION,0,0,0, 
BALLOT GROUP 728,9990728A,8728,728,N,0,TOTAL,0,0,0, 
BALLOT GROUP 785,9990785A,8785,785,N, ,POLLING PLACE,0,0,0, 
BALLOT GROUP 785,9990785A,8785,785,N, ,VBM PORTION,0,0,0, 
BALLOT GROUP 785,9990785A,8785,785,N,0,TOTAL,0,0,0, 
